epoch 175        Loss = 0.032    Acc = 0.442     MinLoss = 0.032         MaxAcc = 0.462
epoch 176        Loss = 0.032    Acc = 0.444     MinLoss = 0.032         MaxAcc = 0.462
epoch 177        Loss = 0.033    Acc = 0.456     MinLoss = 0.032         MaxAcc = 0.462
epoch 178        Loss = 0.032    Acc = 0.458     MinLoss = 0.032         MaxAcc = 0.462
epoch 179        Loss = 0.032    Acc = 0.448     MinLoss = 0.032         MaxAcc = 0.462
epoch 180        Loss = 0.032    Acc = 0.457     MinLoss = 0.032         MaxAcc = 0.462
epoch 181        Loss = 0.032    Acc = 0.450     MinLoss = 0.032         MaxAcc = 0.462
epoch 182        Loss = 0.031    Acc = 0.455     MinLoss = 0.031         MaxAcc = 0.462
epoch 183        Loss = 0.032    Acc = 0.450     MinLoss = 0.031         MaxAcc = 0.462
epoch 184        Loss = 0.032    Acc = 0.437     MinLoss = 0.031         MaxAcc = 0.462
epoch 185        Loss = 0.031    Acc = 0.450     MinLoss = 0.031         MaxAcc = 0.462
epoch 186        Loss = 0.032    Acc = 0.452     MinLoss = 0.031         MaxAcc = 0.462
epoch 187        Loss = 0.032    Acc = 0.446     MinLoss = 0.031         MaxAcc = 0.462
epoch 188        Loss = 0.032    Acc = 0.452     MinLoss = 0.031         MaxAcc = 0.462
epoch 189        Loss = 0.032    Acc = 0.463     MinLoss = 0.031         MaxAcc = 0.463
epoch 190        Loss = 0.031    Acc = 0.465     MinLoss = 0.031         MaxAcc = 0.465
epoch 191        Loss = 0.031    Acc = 0.452     MinLoss = 0.031         MaxAcc = 0.465
epoch 192        Loss = 0.032    Acc = 0.464     MinLoss = 0.031         MaxAcc = 0.465
epoch 193        Loss = 0.031    Acc = 0.451     MinLoss = 0.031         MaxAcc = 0.465
epoch 194        Loss = 0.031    Acc = 0.446     MinLoss = 0.031         MaxAcc = 0.465
epoch 195        Loss = 0.031    Acc = 0.462     MinLoss = 0.031         MaxAcc = 0.465
epoch 196        Loss = 0.032    Acc = 0.470     MinLoss = 0.031         MaxAcc = 0.470
epoch 197        Loss = 0.032    Acc = 0.458     MinLoss = 0.031         MaxAcc = 0.470
epoch 198        Loss = 0.032    Acc = 0.449     MinLoss = 0.031         MaxAcc = 0.470
epoch 199        Loss = 0.031    Acc = 0.459     MinLoss = 0.031         MaxAcc = 0.470
epoch 200        Loss = 0.032    Acc = 0.454     MinLoss = 0.031         MaxAcc = 0.470
epoch 201        Loss = 0.031    Acc = 0.454     MinLoss = 0.031         MaxAcc = 0.470
epoch 202        Loss = 0.031    Acc = 0.453     MinLoss = 0.031         MaxAcc = 0.470
epoch 203        Loss = 0.031    Acc = 0.453     MinLoss = 0.031         MaxAcc = 0.470
epoch 204        Loss = 0.031    Acc = 0.450     MinLoss = 0.031         MaxAcc = 0.470
epoch 205        Loss = 0.031    Acc = 0.459     MinLoss = 0.031         MaxAcc = 0.470
epoch 206        Loss = 0.031    Acc = 0.459     MinLoss = 0.031         MaxAcc = 0.470
epoch 207        Loss = 0.031    Acc = 0.447     MinLoss = 0.031         MaxAcc = 0.470
epoch 208        Loss = 0.031    Acc = 0.455     MinLoss = 0.031         MaxAcc = 0.470
epoch 209        Loss = 0.031    Acc = 0.451     MinLoss = 0.031         MaxAcc = 0.470
epoch 210        Loss = 0.031    Acc = 0.451     MinLoss = 0.031         MaxAcc = 0.470
epoch 211        Loss = 0.031    Acc = 0.451     MinLoss = 0.031         MaxAcc = 0.470
epoch 212        Loss = 0.031    Acc = 0.454     MinLoss = 0.031         MaxAcc = 0.470
epoch 213        Loss = 0.031    Acc = 0.460     MinLoss = 0.031         MaxAcc = 0.470
epoch 214        Loss = 0.031    Acc = 0.454     MinLoss = 0.031         MaxAcc = 0.470
epoch 215        Loss = 0.031    Acc = 0.457     MinLoss = 0.031         MaxAcc = 0.470
epoch 216        Loss = 0.030    Acc = 0.456     MinLoss = 0.030         MaxAcc = 0.470
epoch 217        Loss = 0.031    Acc = 0.450     MinLoss = 0.030         MaxAcc = 0.470
epoch 218        Loss = 0.030    Acc = 0.453     MinLoss = 0.030         MaxAcc = 0.470
epoch 219        Loss = 0.030    Acc = 0.461     MinLoss = 0.030         MaxAcc = 0.470
epoch 220        Loss = 0.030    Acc = 0.462     MinLoss = 0.030         MaxAcc = 0.470
epoch 221        Loss = 0.030    Acc = 0.450     MinLoss = 0.030         MaxAcc = 0.470
epoch 222        Loss = 0.030    Acc = 0.458     MinLoss = 0.030         MaxAcc = 0.470
epoch 223        Loss = 0.030    Acc = 0.468     MinLoss = 0.030         MaxAcc = 0.470
epoch 224        Loss = 0.031    Acc = 0.454     MinLoss = 0.030         MaxAcc = 0.470
epoch 225        Loss = 0.030    Acc = 0.454     MinLoss = 0.030         MaxAcc = 0.470
epoch 226        Loss = 0.030    Acc = 0.456     MinLoss = 0.030         MaxAcc = 0.470
epoch 227        Loss = 0.030    Acc = 0.466     MinLoss = 0.030         MaxAcc = 0.470
epoch 228        Loss = 0.030    Acc = 0.462     MinLoss = 0.030         MaxAcc = 0.470
epoch 229        Loss = 0.030    Acc = 0.454     MinLoss = 0.030         MaxAcc = 0.470
epoch 230        Loss = 0.030    Acc = 0.461     MinLoss = 0.030         MaxAcc = 0.470
epoch 231        Loss = 0.030    Acc = 0.468     MinLoss = 0.030         MaxAcc = 0.470
epoch 232        Loss = 0.030    Acc = 0.457     MinLoss = 0.030         MaxAcc = 0.470
epoch 233        Loss = 0.030    Acc = 0.455     MinLoss = 0.030         MaxAcc = 0.470
epoch 234        Loss = 0.030    Acc = 0.456     MinLoss = 0.030         MaxAcc = 0.470
epoch 235        Loss = 0.030    Acc = 0.459     MinLoss = 0.030         MaxAcc = 0.470
epoch 236        Loss = 0.029    Acc = 0.464     MinLoss = 0.029         MaxAcc = 0.470
epoch 237        Loss = 0.030    Acc = 0.472     MinLoss = 0.029         MaxAcc = 0.472
epoch 238        Loss = 0.030    Acc = 0.465     MinLoss = 0.029         MaxAcc = 0.472
epoch 239        Loss = 0.030    Acc = 0.465     MinLoss = 0.029         MaxAcc = 0.472
epoch 240        Loss = 0.030    Acc = 0.457     MinLoss = 0.029         MaxAcc = 0.472
epoch 241        Loss = 0.030    Acc = 0.456     MinLoss = 0.029         MaxAcc = 0.472
epoch 242        Loss = 0.029    Acc = 0.452     MinLoss = 0.029         MaxAcc = 0.472
epoch 243        Loss = 0.029    Acc = 0.457     MinLoss = 0.029         MaxAcc = 0.472
epoch 244        Loss = 0.029    Acc = 0.457     MinLoss = 0.029         MaxAcc = 0.472
epoch 245        Loss = 0.029    Acc = 0.458     MinLoss = 0.029         MaxAcc = 0.472
epoch 246        Loss = 0.030    Acc = 0.454     MinLoss = 0.029         MaxAcc = 0.472
epoch 247        Loss = 0.030    Acc = 0.446     MinLoss = 0.029         MaxAcc = 0.472
epoch 248        Loss = 0.030    Acc = 0.462     MinLoss = 0.029         MaxAcc = 0.472
epoch 249        Loss = 0.029    Acc = 0.468     MinLoss = 0.029         MaxAcc = 0.472
epoch 250        Loss = 0.030    Acc = 0.459     MinLoss = 0.029         MaxAcc = 0.472
epoch 251        Loss = 0.029    Acc = 0.471     MinLoss = 0.029         MaxAcc = 0.472
epoch 252        Loss = 0.030    Acc = 0.468     MinLoss = 0.029         MaxAcc = 0.472
epoch 253        Loss = 0.030    Acc = 0.470     MinLoss = 0.029         MaxAcc = 0.472
epoch 254        Loss = 0.029    Acc = 0.464     MinLoss = 0.029         MaxAcc = 0.472
epoch 255        Loss = 0.029    Acc = 0.452     MinLoss = 0.029         MaxAcc = 0.472
epoch 256        Loss = 0.029    Acc = 0.449     MinLoss = 0.029         MaxAcc = 0.472
epoch 257        Loss = 0.029    Acc = 0.456     MinLoss = 0.029         MaxAcc = 0.472
epoch 258        Loss = 0.029    Acc = 0.455     MinLoss = 0.029         MaxAcc = 0.472
epoch 259        Loss = 0.029    Acc = 0.457     MinLoss = 0.029         MaxAcc = 0.472
epoch 260        Loss = 0.029    Acc = 0.461     MinLoss = 0.029         MaxAcc = 0.472
epoch 261        Loss = 0.029    Acc = 0.463     MinLoss = 0.029         MaxAcc = 0.472
epoch 262        Loss = 0.029    Acc = 0.467     MinLoss = 0.029         MaxAcc = 0.472
epoch 263        Loss = 0.029    Acc = 0.454     MinLoss = 0.029         MaxAcc = 0.472
epoch 264        Loss = 0.029    Acc = 0.460     MinLoss = 0.029         MaxAcc = 0.472
epoch 265        Loss = 0.029    Acc = 0.455     MinLoss = 0.029         MaxAcc = 0.472
epoch 266        Loss = 0.029    Acc = 0.460     MinLoss = 0.029         MaxAcc = 0.472
epoch 267        Loss = 0.029    Acc = 0.456     MinLoss = 0.029         MaxAcc = 0.472
epoch 268        Loss = 0.029    Acc = 0.462     MinLoss = 0.029         MaxAcc = 0.472
epoch 269        Loss = 0.028    Acc = 0.463     MinLoss = 0.028         MaxAcc = 0.472
epoch 270        Loss = 0.028    Acc = 0.464     MinLoss = 0.028         MaxAcc = 0.472
epoch 271        Loss = 0.029    Acc = 0.458     MinLoss = 0.028         MaxAcc = 0.472
epoch 272        Loss = 0.029    Acc = 0.456     MinLoss = 0.028         MaxAcc = 0.472
epoch 273        Loss = 0.029    Acc = 0.460     MinLoss = 0.028         MaxAcc = 0.472
epoch 274        Loss = 0.030    Acc = 0.458     MinLoss = 0.028         MaxAcc = 0.472
epoch 275        Loss = 0.029    Acc = 0.462     MinLoss = 0.028         MaxAcc = 0.472
epoch 276        Loss = 0.029    Acc = 0.471     MinLoss = 0.028         MaxAcc = 0.472
epoch 277        Loss = 0.028    Acc = 0.465     MinLoss = 0.028         MaxAcc = 0.472
epoch 278        Loss = 0.029    Acc = 0.466     MinLoss = 0.028         MaxAcc = 0.472
epoch 279        Loss = 0.028    Acc = 0.458     MinLoss = 0.028         MaxAcc = 0.472
epoch 280        Loss = 0.028    Acc = 0.466     MinLoss = 0.028         MaxAcc = 0.472
epoch 281        Loss = 0.028    Acc = 0.466     MinLoss = 0.028         MaxAcc = 0.472
epoch 282        Loss = 0.028    Acc = 0.462     MinLoss = 0.028         MaxAcc = 0.472
epoch 283        Loss = 0.028    Acc = 0.459     MinLoss = 0.028         MaxAcc = 0.472
epoch 284        Loss = 0.029    Acc = 0.460     MinLoss = 0.028         MaxAcc = 0.472
epoch 285        Loss = 0.029    Acc = 0.463     MinLoss = 0.028         MaxAcc = 0.472
epoch 286        Loss = 0.029    Acc = 0.462     MinLoss = 0.028         MaxAcc = 0.472
epoch 287        Loss = 0.028    Acc = 0.453     MinLoss = 0.028         MaxAcc = 0.472
epoch 288        Loss = 0.028    Acc = 0.460     MinLoss = 0.028         MaxAcc = 0.472
epoch 290        Loss = 0.028    Acc = 0.471     MinLoss = 0.028         MaxAcc = 0.472
epoch 291        Loss = 0.028    Acc = 0.458     MinLoss = 0.028         MaxAcc = 0.472
epoch 292        Loss = 0.029    Acc = 0.462     MinLoss = 0.028         MaxAcc = 0.472
epoch 293        Loss = 0.028    Acc = 0.462     MinLoss = 0.028         MaxAcc = 0.472
epoch 294        Loss = 0.028    Acc = 0.464     MinLoss = 0.028         MaxAcc = 0.472
epoch 295        Loss = 0.028    Acc = 0.468     MinLoss = 0.028         MaxAcc = 0.472
epoch 296        Loss = 0.028    Acc = 0.463     MinLoss = 0.028         MaxAcc = 0.472
epoch 297        Loss = 0.028    Acc = 0.471     MinLoss = 0.028         MaxAcc = 0.472
